Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-BR-4279,0.585646,0.39897192,0.5858563,0.2312904,0.41333684,0.66259253,0.40659195,0.47319686,0.48565164,0.5922712,0.3792784,0.45190054,0.7277765,0.5733902,0.38960087,0.3085489,0.5098038,0.510901,0.5266402,0.6580732,0.665552,0.3977939,0.2265099,0.39476073,0.49668884,0.5468863,0.4916274,0.43757728,0.40577474,0.42526355,0.5218916,0.5019217,0.51194125,0.39064914,0.58584726,0.3938592,0.49058995,0.3946612,0.35130292,0.5269038,0.6921425,0.2856251,0.38323873,0.30729657,0.40831605,0.6377393,0.5312005,0.43019968,0.636518,0.70732975,0.626827,0.33391523,0.6495119,0.32735717,0.3825389,0.35249636,0.477044,0.501954,0.5289295,0.535502,0.46249196,0.40981817,0.3275246,0.64697903,0.26135898,0.5031392,0.41320944,0.38407654,0.5059354,0.3060764,0.5597476,0.33668792,0.4176973,0.50865597,0.6941763,0.5556201,0.497272,0.5279349,0.69318724,0.58470756,0.48717016,0.45658696,0.36823368,0.43958604,0.32259178,0.37350664,0.42826754,0.5433603,0.692732,0.60217416,0.23698503,0.23703581,0.33250636,0.5396606,0.6222898,0.38326174,0.59244204,0.40376166,0.6682795,0.46482277
TCGA-BR-4280,0.37468144,0.7031742,0.3076121,0.5306934,0.42164356,0.8430288,0.39899415,0.35083047,0.45777366,0.44929305,0.41917917,0.36620978,0.48753238,0.7043013,0.42405748,0.43326718,0.54333997,0.42096895,0.44151068,0.3639052,0.4339257,0.63330626,0.24731612,0.2836363,0.5157674,0.41537875,0.465902,0.58503336,0.6892785,0.36167675,0.57673,0.6175582,0.58379674,0.43641803,0.29655528,0.46601596,0.7407441,0.47610003,0.575842,0.5587323,0.43342817,0.69788224,0.36614633,0.49879533,0.7126486,0.33216047,0.5593853,0.4240229,0.49652505,0.6895585,0.6343212,0.21709792,0.5546324,0.5509026,0.56709826,0.5678593,0.6564535,0.3422906,0.43060172,0.54175186,0.46358216,0.39830375,0.6541892,0.49253163,0.49591547,0.41107374,0.7896132,0.40621918,0.54456824,0.66462207,0.4938719,0.6893319,0.3005968,0.39103353,0.54374963,0.7215992,0.4554618,0.3394124,0.42790568,0.3426941,0.3862888,0.41095313,0.6237472,0.43975216,0.3272476,0.65542066,0.36203057,0.7200693,0.30199465,0.5571555,0.4372785,0.6541342,0.47575188,0.30179867,0.32873628,0.6610509,0.44576085,0.55276155,0.5700565,0.6316501
TCGA-BR-4292,0.303917,0.73792046,0.91320944,0.6699294,0.67483604,0.27276656,0.7153282,0.42980683,0.18102409,0.35455614,0.4538444,0.5110185,0.25732177,0.3562961,0.5137289,0.39701623,0.3039331,0.49948812,0.76548433,0.32474804,0.68302715,0.31973425,0.6239868,0.3700534,0.7019621,0.5657769,0.6744348,0.7070417,0.6530578,0.32826796,0.5452612,0.15387551,0.50763273,0.46880034,0.3812666,0.19851644,0.4931822,0.5711111,0.4603868,0.3865187,0.07650326,0.67398536,0.25204152,0.5206375,0.4845743,0.7075348,0.516505,0.4444368,0.5185523,0.46622306,0.7857437,0.4077173,0.7696912,0.48518133,0.30360204,0.56652,0.6717547,0.6829308,0.62861806,0.28174496,0.35886,0.16023499,0.34801382,0.5613442,0.40907004,0.645748,0.70981514,0.71095437,0.79055846,0.67139685,0.3173966,0.8182429,0.5509192,0.4277485,0.18536806,0.46489498,0.6975326,0.6101389,0.4067999,0.4100197,0.3785324,0.72085726,0.8066836,0.7365427,0.265622,0.58270645,0.6920928,0.42871964,0.57934093,0.8091535,0.449689,0.5197163,0.40249297,0.25048253,0.6839202,0.28360593,0.6113757,0.48785385,0.8173511,0.7052946
TCGA-BR-4294,0.33221954,0.3124434,0.6005663,0.5377846,0.56728834,0.45339748,0.15725191,0.7087321,0.49117905,0.4278317,0.70604014,0.19506614,0.62619203,0.70622844,0.26424724,0.19630532,0.56881195,0.45432532,0.720682,0.5969022,0.41864783,0.22115314,0.56702495,0.29585984,0.7078883,0.56434983,0.54856384,0.22873263,0.5879644,0.15989439,0.67463064,0.298545,0.41198513,0.19550768,0.826911,0.7534749,0.5550433,0.2618448,0.5517452,0.69893974,0.75854063,0.2757968,0.3849314,0.3867911,0.35827124,0.36632174,0.23350671,0.37912643,0.801529,0.557155,0.23704153,0.33302537,0.27999625,0.17238145,0.42393976,0.34335512,0.45437163,0.58188975,0.22849326,0.8369975,0.7701928,0.57940924,0.5620825,0.7802599,0.19607167,0.39408076,0.73355,0.16855498,0.2769953,0.32596716,0.38527465,0.7636836,0.79202807,0.39993858,0.44397843,0.6441699,0.25947163,0.78410167,0.3993173,0.61369,0.28292912,0.20004126,0.801833,0.55361885,0.5662624,0.24454,0.21262595,0.7625933,0.5946435,0.1846353,0.14457002,0.17826505,0.59273857,0.56684566,0.805462,0.66007686,0.7344717,0.21971992,0.6036466,0.5605038
TCGA-BR-4357,0.3692534,0.65836304,0.38735178,0.5912206,0.33968532,0.3775412,0.65539825,0.40592343,0.41889906,0.64804065,0.75702727,0.2597069,0.54845333,0.39930695,0.2946343,0.53914744,0.37538958,0.6402507,0.40239426,0.5595004,0.56518096,0.23610567,0.494492,0.30993855,0.38559738,0.22183442,0.43761325,0.39473432,0.5997155,0.349294,0.37314305,0.43913633,0.67395717,0.4021509,0.37298957,0.6226392,0.56547296,0.22464885,0.44966918,0.6051922,0.75735795,0.4751867,0.5668459,0.4237428,0.63938326,0.44058973,0.60629797,0.42180938,0.35636503,0.5233679,0.43785626,0.28157887,0.5863611,0.4243764,0.3573663,0.38462883,0.3742066,0.34380537,0.2756703,0.55470276,0.5848117,0.22785719,0.20686597,0.3937714,0.62823915,0.3880451,0.51869905,0.62519157,0.37329683,0.317213,0.60869163,0.42475432,0.48341408,0.5890315,0.42176893,0.3066485,0.70264554,0.57527846,0.50100845,0.74358743,0.58521235,0.4554101,0.45224276,0.24879518,0.33162907,0.31371298,0.6074276,0.48819697,0.6519259,0.5276266,0.52939487,0.5660602,0.6656805,0.31250107,0.42358014,0.69903183,0.29981482,0.19288518,0.59698117,0.29069668
TCGA-BR-4361,0.5769723,0.7981353,0.6101676,0.7357068,0.7520915,0.3803057,0.57823163,0.7523581,0.19891813,0.37311852,0.21965018,0.5829749,0.24854678,0.20558809,0.25541183,0.5435627,0.72571135,0.30577284,0.47693855,0.57007825,0.6231209,0.62006766,0.4902947,0.50198656,0.4355718,0.38291377,0.55601907,0.4471556,0.54394317,0.4946793,0.306201,0.4559009,0.39984715,0.50480545,0.45134947,0.20643169,0.53262043,0.60661566,0.67985064,0.40756655,0.13833672,0.27121606,0.5530306,0.34720302,0.635,0.51741284,0.21954522,0.7336041,0.44814283,0.69192696,0.7871072,0.36816,0.5450661,0.6511843,0.13842587,0.60370314,0.428592,0.38410658,0.4058,0.333675,0.5242517,0.19489615,0.28853503,0.5426588,0.58843195,0.5076936,0.7354615,0.6271211,0.5505249,0.6956364,0.4016698,0.7942703,0.31357092,0.52752185,0.49742657,0.4048559,0.64377964,0.12750886,0.51200736,0.3697427,0.5916647,0.57147276,0.7382941,0.6204242,0.124617346,0.55391645,0.6580908,0.25129518,0.20664391,0.5375984,0.4345029,0.43278536,0.57658863,0.24869546,0.28176352,0.30432355,0.40207085,0.66814196,0.8537302,0.7986858
TCGA-BR-4362,0.55299145,0.795118,0.49213633,0.66813076,0.5358467,0.7197215,0.56374264,0.21840912,0.45494732,0.44358715,0.16554387,0.6185544,0.5413167,0.5188503,0.33736554,0.30016568,0.44030863,0.22986293,0.6929941,0.47449818,0.7670171,0.27596036,0.3408174,0.72932225,0.6692298,0.25408575,0.8634348,0.41045564,0.4575429,0.4022037,0.45276052,0.4951224,0.32267696,0.42534092,0.2648371,0.15032047,0.4185514,0.50211525,0.8206712,0.30861697,0.44811887,0.6583251,0.40382096,0.43660033,0.4658447,0.72149163,0.55961317,0.44165596,0.3532687,0.42641878,0.82022804,0.5134349,0.7969666,0.6088016,0.29431912,0.419834,0.53279585,0.38355353,0.51680845,0.6193569,0.17264977,0.23426995,0.40665346,0.5604863,0.44981116,0.7513264,0.4767875,0.8137499,0.5836651,0.6406826,0.3787837,0.751037,0.4715463,0.5400616,0.2907188,0.72609305,0.5712905,0.30360788,0.38904095,0.35755125,0.7584286,0.6142422,0.8079708,0.59965223,0.44191694,0.49669313,0.6144338,0.3750075,0.2813608,0.8076954,0.34175685,0.7695167,0.1660462,0.45274282,0.39323595,0.5660641,0.43656614,0.44239563,0.40754104,0.2932487
TCGA-BR-4363,0.30256248,0.6108295,0.65434825,0.5043712,0.6515277,0.2964479,0.7723652,0.5236514,0.41246068,0.3585389,0.37843215,0.4682017,0.45368004,0.20621857,0.36618134,0.47671252,0.53110945,0.7150383,0.4226647,0.51104707,0.5605959,0.58639234,0.46862495,0.61235106,0.73258924,0.29855087,0.30744708,0.44694492,0.5285712,0.3667572,0.39217475,0.31101865,0.6709627,0.2748554,0.23222502,0.38322884,0.4840869,0.52448344,0.6782718,0.45142767,0.22224328,0.48781234,0.50266886,0.68219817,0.6658467,0.6836245,0.24476199,0.6142112,0.52267545,0.38131273,0.6085623,0.6073827,0.5859777,0.7193761,0.22036801,0.6702136,0.5752581,0.65919024,0.6510242,0.46480942,0.3036175,0.19921367,0.4484257,0.6468061,0.59640837,0.7931726,0.29566136,0.54707384,0.5979047,0.5835368,0.5835127,0.59869146,0.30969587,0.38668624,0.56157017,0.46095717,0.7319678,0.259749,0.34309578,0.5455048,0.22242695,0.46298093,0.5440719,0.7002389,0.1267382,0.59626687,0.51792246,0.39842752,0.31707036,0.75278056,0.5054331,0.37685096,0.4827082,0.35619217,0.6021919,0.5579915,0.47531474,0.50065726,0.45712817,0.7566167
TCGA-BR-4366,0.42641392,0.7429284,0.7504281,0.6678714,0.3805473,0.43982378,0.28898746,0.25938937,0.4597273,0.40093195,0.7134378,0.5250213,0.6705853,0.5529915,0.6043358,0.5684231,0.403495,0.7270181,0.6561696,0.29895115,0.67381114,0.41026676,0.21396613,0.5404785,0.43462485,0.19729081,0.5924957,0.25865388,0.7560086,0.5285619,0.75368375,0.32571194,0.2465423,0.15578172,0.6592469,0.54300094,0.71613514,0.3533314,0.1690563,0.76605797,0.2382888,0.399765,0.29457816,0.65169674,0.6039252,0.4653252,0.5880054,0.6867556,0.292314,0.35681742,0.4100381,0.4535824,0.30228567,0.41121036,0.61143166,0.53490216,0.3426299,0.5671877,0.764361,0.8278943,0.18144542,0.24247395,0.21659768,0.72595966,0.5707197,0.59723336,0.43885678,0.16059473,0.6013694,0.36804053,0.70026505,0.7199082,0.43160108,0.65277535,0.36418557,0.20702134,0.36099792,0.62681925,0.46261644,0.6786766,0.23454069,0.23393324,0.3957209,0.24143988,0.1848394,0.39982653,0.5888617,0.4823332,0.67434764,0.42951724,0.58380187,0.22899365,0.6746699,0.6144964,0.18314469,0.64945936,0.56148386,0.2162855,0.75511456,0.19895366
TCGA-BR-4368,0.67856765,0.79435277,0.39105287,0.32663435,0.7456366,0.46487293,0.67972904,0.4909703,0.4191374,0.28772223,0.107597314,0.47281405,0.30470687,0.2912987,0.42144787,0.36581737,0.77674377,0.64543176,0.30786598,0.6017975,0.44201803,0.5629571,0.4162003,0.61052126,0.42357144,0.366165,0.5754708,0.88061565,0.22653216,0.6410892,0.2844855,0.3565681,0.54265964,0.36435437,0.30398965,0.35797238,0.30165476,0.66237724,0.7341797,0.4240307,0.5046673,0.47868237,0.32730135,0.3889541,0.4818685,0.4995477,0.33332422,0.46137294,0.73152053,0.55122167,0.74595153,0.2739082,0.5738755,0.5689347,0.29425326,0.6932182,0.60672915,0.25347,0.5872468,0.47863057,0.5327757,0.4798612,0.49541914,0.48606193,0.68851864,0.50834817,0.46946093,0.31067583,0.81823945,0.6491647,0.5847056,0.61320055,0.49093145,0.44014496,0.45807645,0.23195523,0.8154172,0.17633298,0.46295476,0.46759567,0.32684842,0.3642408,0.52975345,0.5010178,0.4043073,0.52153194,0.6243756,0.10860272,0.5015946,0.6619832,0.21786118,0.4376356,0.51876557,0.4651792,0.4830765,0.1980874,0.39195988,0.54512835,0.5644258,0.60233873
