Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-KO-8407-01,0.26601458,0.5174638,0.376886,0.61704075,0.55822724,0.47745502,0.5694473,0.38491955,0.45999265,0.40730447,0.34985194,0.661391,0.28707397,0.46148747,0.61584234,0.4051615,0.4532326,0.30011803,0.66719973,0.5656188,0.60518587,0.60809344,0.41951457,0.48369783,0.5650865,0.6056833,0.46575737,0.2505477,0.31015897,0.582286,0.48749265,0.54942155,0.37098664,0.33445922,0.24724945,0.6003812,0.35107976,0.5932583,0.515545,0.32404292,0.5904621,0.3049697,0.37772954,0.6222147,0.43275562,0.38412935,0.6143665,0.5452656,0.31803942,0.41302374,0.7123647,0.57571113,0.38688555,0.40521717,0.2930036,0.5914572,0.36318243,0.3174786,0.3762044,0.5372606,0.41739124,0.32068878,0.587388,0.70361066,0.4184932,0.5573088,0.33846334,0.5826595,0.5762829,0.5403674,0.5879704,0.5672029,0.30868387,0.38075864,0.67797804,0.58927214,0.47724724,0.54641783,0.32962182,0.29151577,0.39960253,0.5095313,0.6161576,0.2974453,0.28093517,0.38404065,0.32639557,0.46269912,0.47018272,0.35982218,0.51193994,0.30155906,0.25276476,0.645209,0.4289239,0.536395,0.36902687,0.3824002,0.38468704,0.6872877
TCGA-KL-8346-01,0.15130837,0.1887537,0.6092455,0.79741436,0.48887724,0.3466486,0.77763575,0.4434213,0.31091186,0.5989622,0.85768557,0.5588905,0.34602433,0.67629933,0.70136505,0.35007888,0.3601045,0.33436438,0.6490728,0.6998944,0.6509818,0.39590394,0.2978506,0.43732464,0.59244704,0.7698571,0.5234603,0.27944332,0.3125467,0.76565933,0.48065284,0.584252,0.45273477,0.5072828,0.26342732,0.6344155,0.25964385,0.678278,0.61779183,0.41730517,0.48646152,0.21403456,0.29176208,0.7815852,0.6250826,0.35645553,0.60616577,0.60243464,0.2856556,0.5078054,0.67114264,0.5804579,0.2929743,0.50216746,0.28324017,0.473187,0.18073839,0.25217316,0.3864926,0.58851004,0.3408481,0.18732128,0.55659044,0.5114376,0.33365136,0.6460445,0.2247578,0.3396961,0.4913346,0.5183086,0.5621979,0.5057266,0.35114086,0.38022324,0.60813665,0.7098588,0.39297962,0.42891207,0.38583428,0.21495503,0.49570364,0.47632492,0.53601533,0.2863791,0.28507578,0.5055944,0.34615603,0.2970447,0.30443478,0.39513257,0.5306037,0.21321923,0.27961618,0.64503425,0.2764632,0.6620966,0.3587046,0.4185214,0.27945873,0.54381037
TCGA-KO-8405-01,0.3166634,0.38108057,0.460787,0.5519354,0.4687599,0.6418054,0.5475066,0.5821934,0.4361409,0.295393,0.59952545,0.6430341,0.38029683,0.36167467,0.51455003,0.39762843,0.4810163,0.30053416,0.38724357,0.5780804,0.36295938,0.69123113,0.49733973,0.3512435,0.36407185,0.3258156,0.53980786,0.28240258,0.39779025,0.41353393,0.5684711,0.6044197,0.47222492,0.45102733,0.20219895,0.40172428,0.40100718,0.6431874,0.5930636,0.5162101,0.56802434,0.30006516,0.37060484,0.46604893,0.43800843,0.29273254,0.5990733,0.5928114,0.28278086,0.31930774,0.6630716,0.5805818,0.33949342,0.5418952,0.34469333,0.5298846,0.3794308,0.31622094,0.37754822,0.52006364,0.33712596,0.2521543,0.51284283,0.70075685,0.49034312,0.56337386,0.3627202,0.7100741,0.6087887,0.54427177,0.5050721,0.5658828,0.37989396,0.63210344,0.6703516,0.5677367,0.25922573,0.379125,0.3120151,0.2532795,0.4575577,0.5253961,0.6052668,0.3541079,0.35561562,0.333774,0.27347964,0.5992776,0.6166911,0.3932268,0.54923415,0.3628528,0.30495226,0.6277767,0.5450833,0.47723892,0.34160674,0.34190506,0.43430617,0.65841544
TCGA-KO-8408-01,0.4257141,0.23196001,0.49392414,0.69774705,0.47998968,0.40216738,0.51608884,0.20319533,0.5913342,0.567132,0.49755824,0.50249785,0.46937627,0.67478216,0.7282146,0.46457872,0.48371756,0.26202884,0.36080566,0.3138575,0.7725296,0.5913912,0.46966803,0.39581484,0.7387886,0.48284125,0.45683795,0.3105354,0.24887511,0.5909776,0.5086097,0.5011002,0.50889534,0.24239525,0.24273889,0.5844553,0.41006705,0.68102,0.6870681,0.37465483,0.43492848,0.22007841,0.49738288,0.70614684,0.53808045,0.28049237,0.79030263,0.3159563,0.22086346,0.5298255,0.6192429,0.5675232,0.25480542,0.6329437,0.33363435,0.54520935,0.1989395,0.14915317,0.20428066,0.43325046,0.26590195,0.438556,0.76486886,0.52381855,0.34661117,0.67484283,0.45459452,0.22771263,0.56199604,0.41524592,0.5996806,0.56431425,0.43465334,0.43589327,0.6071616,0.75202066,0.25006044,0.4997925,0.22393164,0.18990946,0.5542934,0.7167372,0.6720849,0.5498629,0.35123459,0.52861786,0.30194056,0.62333024,0.24894089,0.47900164,0.6126167,0.2538793,0.24423012,0.46470636,0.44240144,0.65096754,0.5038077,0.26871288,0.42660034,0.50232977
TCGA-KO-8410-01,0.37299162,0.31891733,0.356655,0.60625553,0.38981318,0.59494495,0.44586924,0.51518875,0.4418626,0.5920494,0.62707543,0.7461901,0.37938333,0.25597948,0.51513827,0.5305695,0.4916659,0.28436583,0.63053614,0.46761668,0.57515556,0.46745792,0.47084188,0.358433,0.60998565,0.53350276,0.43514895,0.30723977,0.48458678,0.48005974,0.5053429,0.6443899,0.38918668,0.58745563,0.18809205,0.40861613,0.47790217,0.5479815,0.5921855,0.38717985,0.58900595,0.33638093,0.45958003,0.6516664,0.46594325,0.26654166,0.6114185,0.29337516,0.22804111,0.5693305,0.6319331,0.5586116,0.29465228,0.43189102,0.2791648,0.57095975,0.37091592,0.28991634,0.3832851,0.32661968,0.40425357,0.22722909,0.33305544,0.7255225,0.50279987,0.5745966,0.30893368,0.681592,0.5947278,0.30075166,0.5375087,0.51098967,0.28077376,0.2975265,0.6705642,0.48571134,0.24458632,0.22635725,0.3118898,0.2299105,0.64005315,0.48090065,0.5659214,0.37851247,0.29127777,0.2835795,0.2657019,0.5920321,0.4363594,0.6000701,0.5726496,0.38640553,0.3701422,0.6651297,0.63494503,0.51901776,0.30896574,0.36654717,0.36805108,0.6892928
TCGA-KO-8416-01,0.2932628,0.52740407,0.31323573,0.5781178,0.4851356,0.4762805,0.52963763,0.47607523,0.41001606,0.3610337,0.38959342,0.6491247,0.2881001,0.5061329,0.5997139,0.39682102,0.3922552,0.2737118,0.6144426,0.63103205,0.60035735,0.56430864,0.34729302,0.4712843,0.5742342,0.5965105,0.394643,0.24005097,0.38008964,0.59660786,0.44926316,0.59373486,0.33105344,0.46352172,0.24639949,0.5800456,0.3444324,0.5687765,0.4629532,0.31215662,0.5983581,0.30327,0.383249,0.51314723,0.5328082,0.3822347,0.58384293,0.563736,0.3238204,0.39693758,0.702896,0.5234045,0.3731385,0.42077774,0.33249617,0.55021197,0.3654886,0.34109193,0.41133267,0.46104383,0.3739102,0.31992644,0.5310247,0.72503287,0.461855,0.54792935,0.3577345,0.470446,0.57020736,0.6129222,0.5912344,0.5260993,0.36120182,0.40857875,0.68998945,0.5402529,0.50954694,0.50918376,0.3013328,0.31709588,0.41949415,0.46757352,0.58879423,0.317357,0.28948033,0.27085087,0.29389048,0.46715805,0.53100383,0.36889592,0.5319233,0.31832612,0.2628346,0.6631487,0.42724738,0.5326034,0.3286299,0.3823431,0.40368173,0.68649197
TCGA-KL-8338-01,0.24996594,0.45412678,0.48907593,0.7464979,0.50663364,0.46651337,0.60976267,0.41775545,0.4074868,0.3493972,0.5801146,0.6082955,0.36839193,0.5638877,0.63266575,0.3885637,0.43245465,0.2959862,0.62788904,0.587211,0.6715555,0.50016195,0.38027442,0.47021064,0.6335365,0.5868222,0.39416304,0.29452944,0.26947567,0.5851155,0.53197175,0.5670434,0.32244784,0.45386878,0.26631838,0.6036806,0.3471112,0.6731337,0.55456245,0.32369232,0.5929065,0.25087687,0.30315715,0.70042646,0.50639856,0.3230488,0.5999403,0.4281457,0.3540021,0.44097447,0.6296421,0.59939533,0.27222338,0.5032073,0.3461827,0.5012922,0.3161459,0.31510723,0.41951907,0.51881826,0.3961972,0.26669022,0.54116756,0.7150053,0.42703882,0.58054805,0.35533392,0.4459586,0.5632763,0.51967096,0.58671826,0.5254067,0.3636678,0.33414727,0.6300992,0.663717,0.4206097,0.48851955,0.37983757,0.25320822,0.45367804,0.5280435,0.6772288,0.33534312,0.23922348,0.33768013,0.29257414,0.5008537,0.3963799,0.34627223,0.48763922,0.27447563,0.22399905,0.55409706,0.37369972,0.63218755,0.27563855,0.3691132,0.35159162,0.6671737
TCGA-KO-8406-01,0.30996832,0.4691165,0.42220622,0.62226003,0.5441662,0.48407972,0.5855409,0.44373274,0.42958143,0.49562442,0.30618307,0.6494359,0.34676623,0.2843163,0.58603865,0.36933434,0.39885914,0.28437066,0.62550163,0.58117515,0.61703146,0.63555914,0.28622156,0.6000206,0.6500609,0.5040725,0.37041312,0.27160805,0.34503078,0.6655228,0.5163431,0.58722585,0.36581007,0.3776821,0.2134161,0.64804596,0.35511357,0.5843644,0.5148777,0.24086672,0.60579693,0.30795637,0.37032646,0.64879775,0.4447186,0.27993196,0.65964437,0.6185554,0.28129345,0.57703054,0.6418618,0.60361433,0.2927148,0.45735657,0.3107049,0.58120733,0.38033724,0.29574293,0.3498539,0.54668856,0.4231698,0.289122,0.5197776,0.7190566,0.4620053,0.6627476,0.26085037,0.4936015,0.5766792,0.49129713,0.5654602,0.5267347,0.34870327,0.3033778,0.66253734,0.57388735,0.63317275,0.4666593,0.31129766,0.2476445,0.36734003,0.2431567,0.6015734,0.2741554,0.2711336,0.29535294,0.39190266,0.5042593,0.43961054,0.5322269,0.6112681,0.35509354,0.26315558,0.6475832,0.5412267,0.5602709,0.3539457,0.3541455,0.37556562,0.6722979
TCGA-KN-8432-01,0.37160307,0.29512843,0.5172337,0.64106053,0.45536304,0.63383293,0.6485446,0.35735708,0.4569736,0.5341375,0.4112457,0.57581663,0.33495036,0.3206604,0.5713272,0.43921444,0.36651814,0.40609425,0.6000049,0.337269,0.62540174,0.6389007,0.3474893,0.6332938,0.63791704,0.3565363,0.46101895,0.21414256,0.23656699,0.6831281,0.46175516,0.63328177,0.38781592,0.5491968,0.30710262,0.45720547,0.33587235,0.5502511,0.5374847,0.38620675,0.50841856,0.40619403,0.44311187,0.6238625,0.46141088,0.30890128,0.57487303,0.5805248,0.31606892,0.6825484,0.61218023,0.6781665,0.3338161,0.43623018,0.2915585,0.53367865,0.4791426,0.23679172,0.38032576,0.6389784,0.4908149,0.2661009,0.5163603,0.72036195,0.40108186,0.63349867,0.28384846,0.55160797,0.6022389,0.4327904,0.52327347,0.52774125,0.2740689,0.36707368,0.7077269,0.54591614,0.48299584,0.33564484,0.35703555,0.34315813,0.59158415,0.32765773,0.6705399,0.33224842,0.26127166,0.29770544,0.41771072,0.35706222,0.47969192,0.6376763,0.3570617,0.3596444,0.28914037,0.5875531,0.48378408,0.5704615,0.41154194,0.37252864,0.37854105,0.7591938
TCGA-KL-8334-01,0.20833914,0.5782976,0.51759654,0.7632741,0.51345754,0.4368615,0.6191275,0.46443626,0.4452307,0.35084406,0.45903784,0.5719938,0.2962584,0.36255676,0.59484875,0.40227777,0.42142805,0.28564397,0.65392536,0.5188906,0.6336016,0.60499,0.43569782,0.67355436,0.6904075,0.466734,0.4284613,0.24665302,0.24790226,0.58494556,0.5559973,0.5243407,0.25102794,0.39514318,0.31734207,0.6097319,0.2906443,0.69478524,0.52572703,0.3396123,0.57343584,0.2842629,0.28177202,0.7382811,0.48384792,0.34407556,0.60167766,0.5867573,0.32947013,0.50392926,0.65474814,0.572966,0.2969545,0.48175347,0.2954602,0.60980153,0.3190222,0.31926316,0.4179062,0.50782126,0.40248516,0.31189817,0.5516108,0.6755453,0.38891974,0.5814097,0.33631474,0.50287116,0.52444774,0.46779138,0.61123955,0.56267047,0.4067916,0.3060975,0.6118716,0.70151454,0.6260777,0.53417724,0.39854,0.26007274,0.42065173,0.42644417,0.7023121,0.32773274,0.19061172,0.39128155,0.36846426,0.40003484,0.5447201,0.4083437,0.48651117,0.2549807,0.19585499,0.54393446,0.40996635,0.6230428,0.33531082,0.39762726,0.39303148,0.6522212
