Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.59099674,0.8537741,0.63171124,0.6402772,0.28660265,0.66718143,0.6830014,0.4867236,0.9112558,0.666397,0.4827986,0.94093466,0.6059243,0.13094942,0.30365008,0.59771043,0.8764218,0.577899,0.13779669,0.15927288,0.5909171,0.74433386,0.44114047,0.9039762,0.7548423,0.2781519,0.36021847,0.09392735,0.45249122,0.52647746,0.6121108,0.2787449,0.48041737,0.32346693,0.4614575,0.3479248,0.4895004,0.53927046,0.5049126,0.35291767,0.47954693,0.73200965,0.21055193,0.1748865,0.70382,0.5844725,0.85261303,0.6736337,0.4759674,0.62673104,0.55596983,0.6748297,0.67831665,0.14007924,0.11589068,0.8426173,0.39415294,0.48580903,0.25182754,0.7211671,0.7450409,0.63876575,0.20052923,0.5900321,0.29081425,0.46283093,0.7333615,0.79061407,0.47548318,0.26534295,0.33394885,0.19221051,0.74874884,0.46287018,0.83910507,0.34888104,0.7009098,0.16465002,0.114578135,0.82539463,0.8451487,0.44604322,0.81350785,0.42476282,0.6708407,0.56548756,0.49616307,0.6241476,0.27369076,0.8466628,0.5772712,0.18073106,0.5332659,0.86415005,0.8354284,0.85499567,0.3034902,0.8857689,0.2384207,0.49519974
A2-A0CP,0.45972195,0.8229256,0.8457068,0.39251414,0.3087856,0.57213426,0.611945,0.26284823,0.10359247,0.24026152,0.8984766,0.34055898,0.71797955,0.8764241,0.6598699,0.37821472,0.85036016,0.61529136,0.57030666,0.517534,0.91294557,0.4880084,0.5882441,0.7713549,0.45010003,0.7491592,0.8469542,0.67493975,0.42341787,0.55942005,0.11986755,0.41386473,0.10961622,0.26366434,0.7588163,0.25610775,0.84318006,0.61739016,0.77562314,0.72888786,0.3990975,0.6505623,0.7172875,0.7657439,0.38658816,0.44614553,0.12939276,0.51257527,0.63729584,0.5381972,0.68695605,0.73237324,0.30817944,0.64145505,0.4516319,0.7410705,0.20390247,0.5084345,0.50254834,0.6087343,0.4684138,0.709175,0.705403,0.39477062,0.4530262,0.07414087,0.49574023,0.44689113,0.61401576,0.18439272,0.6859536,0.36466628,0.5462661,0.18605757,0.40989724,0.34689522,0.4250875,0.7922162,0.55873036,0.79125184,0.108223915,0.53895783,0.5625276,0.2650956,0.47870982,0.20062338,0.7749292,0.48870802,0.51701534,0.73403114,0.5203974,0.39131728,0.66141194,0.15981582,0.29941893,0.14649609,0.84325004,0.5845554,0.7073452,0.36433095
A2-A0CS,0.73223245,0.21223083,0.88766396,0.5678537,0.78742653,0.5354192,0.27150968,0.558974,0.38597742,0.18492778,0.76121753,0.5066488,0.36924994,0.87740505,0.50781935,0.4270652,0.75671744,0.66222143,0.6487988,0.6129874,0.9093232,0.75877744,0.62715846,0.25445372,0.4356293,0.5774521,0.59127927,0.4860704,0.11296287,0.62411475,0.13718504,0.44577438,0.35537374,0.30914,0.8715123,0.5421585,0.8361619,0.5166741,0.57479715,0.68880403,0.678975,0.58000547,0.37585106,0.88160324,0.5783746,0.4051996,0.22535352,0.41781217,0.6972102,0.7188458,0.53808147,0.4703049,0.5504386,0.9106739,0.42071137,0.5073625,0.7652607,0.20306492,0.80650556,0.7004564,0.6568474,0.2506876,0.6829035,0.40298048,0.84563756,0.12391204,0.16963303,0.21006139,0.7275419,0.2015885,0.71937853,0.54482037,0.4532988,0.5295896,0.6291783,0.56393194,0.61797386,0.71457946,0.49159506,0.8287238,0.22146448,0.58756673,0.40992117,0.55095994,0.1409136,0.4480276,0.47486323,0.19828056,0.64513135,0.7412969,0.40373027,0.57467645,0.6528962,0.23859522,0.21097973,0.21647565,0.756509,0.67700803,0.8307914,0.15755817
A2-A0CX,0.6256767,0.24989253,0.35108697,0.24410954,0.772652,0.43948334,0.28097335,0.42153814,0.16763718,0.35400817,0.18995455,0.3312275,0.65269476,0.8535402,0.5968244,0.7176599,0.66032976,0.8977071,0.33928487,0.33831084,0.42262986,0.5363678,0.66620886,0.5663501,0.71043587,0.87417793,0.34672064,0.30394143,0.16112198,0.23534009,0.36274123,0.6801867,0.4872777,0.1773159,0.49373507,0.37092996,0.3575587,0.31076422,0.75342774,0.43039516,0.81722486,0.6718923,0.61530554,0.53871524,0.8933797,0.29053247,0.4551925,0.6200406,0.5768246,0.70155656,0.6208552,0.86042976,0.2888118,0.5744432,0.7238063,0.90059674,0.882753,0.28869373,0.42413026,0.25549173,0.7347899,0.4874577,0.26016492,0.704147,0.5519508,0.52062815,0.15610662,0.37630254,0.46229208,0.4888996,0.51866114,0.38202858,0.8311169,0.8382108,0.39340407,0.7707033,0.784577,0.57706916,0.1551821,0.4380625,0.367957,0.629816,0.6391644,0.75261545,0.85449535,0.34554046,0.36246762,0.40315694,0.7577765,0.535621,0.84911084,0.5912672,0.34893012,0.28122583,0.5720081,0.37035167,0.77953815,0.5001915,0.53020644,0.55619466
A2-A0D0,0.8948585,0.4420387,0.47032294,0.5725398,0.72343737,0.76156926,0.6077744,0.771796,0.5496474,0.83514917,0.48482794,0.8576424,0.6346695,0.40992635,0.1095943,0.07825932,0.7952985,0.7026334,0.1837377,0.12047031,0.9522245,0.1714431,0.45633084,0.8775103,0.8860923,0.66882485,0.19775842,0.08335209,0.16927537,0.27121228,0.8374784,0.15771434,0.13862155,0.28200454,0.74016565,0.12088367,0.71447134,0.49281695,0.8191412,0.7993553,0.09880398,0.77313983,0.36919582,0.24013415,0.9205796,0.8022087,0.4833205,0.51854986,0.05743366,0.7309253,0.53735566,0.45162457,0.37487543,0.1863354,0.26999688,0.9365596,0.101113886,0.5588895,0.19190872,0.9354739,0.7651767,0.1441578,0.82789266,0.13207306,0.3775466,0.36141074,0.82253945,0.85738766,0.17667079,0.22330794,0.15071827,0.15339917,0.56895494,0.10425324,0.9051279,0.55196923,0.15792608,0.47579476,0.21072826,0.8876319,0.68777543,0.62071526,0.7275483,0.1674163,0.89941096,0.39110276,0.08707631,0.76450276,0.217954,0.920945,0.930509,0.4890047,0.21415162,0.58412963,0.78259337,0.3636675,0.7225504,0.8494215,0.26890954,0.8145925
A2-A0D2,0.7783624,0.87227994,0.4242048,0.75103307,0.41077203,0.20059446,0.7149575,0.52063274,0.6220268,0.7267137,0.4854079,0.7869781,0.8310479,0.38103408,0.15659393,0.32468462,0.8909663,0.6264343,0.6301231,0.21360597,0.74871826,0.3530651,0.62777644,0.55871415,0.81721103,0.62085956,0.2508198,0.23309198,0.3211788,0.3374821,0.7920455,0.20540774,0.19010359,0.3034162,0.3752969,0.13656864,0.28849444,0.78758293,0.60175323,0.5718567,0.24175513,0.5730833,0.5516624,0.4136813,0.74003947,0.7339994,0.7771068,0.6767351,0.23435122,0.5239037,0.32153082,0.48953125,0.29112306,0.29149264,0.1694595,0.85057664,0.43196273,0.5300561,0.13608968,0.60283697,0.80876666,0.6097021,0.16546011,0.12964863,0.5955566,0.6261766,0.7586304,0.5264081,0.22537664,0.1835708,0.5850878,0.17909531,0.8052529,0.21087998,0.8436034,0.39095342,0.5315418,0.7627245,0.2051842,0.8337689,0.7862046,0.5880209,0.75169396,0.17593792,0.89506173,0.45668387,0.24372724,0.81990093,0.2285307,0.9320723,0.7538723,0.14615358,0.6145213,0.5833232,0.8789794,0.4718085,0.70519674,0.5619625,0.5682641,0.7279835
A2-A0D3,0.8169353,0.22920373,0.58626765,0.4516626,0.42702812,0.51529896,0.3259089,0.66053474,0.8555398,0.6459675,0.65470326,0.19878301,0.44910342,0.59348065,0.39365917,0.47800964,0.30801436,0.716927,0.6485089,0.74661493,0.4006558,0.8238325,0.5941235,0.34872577,0.41613433,0.61695766,0.46756947,0.72599065,0.2327832,0.8787321,0.39230156,0.48849154,0.476691,0.6353741,0.5942331,0.50206083,0.8476898,0.34667808,0.86852527,0.3676663,0.41915303,0.79589856,0.6482339,0.44041795,0.23519287,0.26436013,0.106953725,0.71622163,0.85302544,0.7489961,0.28931364,0.56886375,0.55596185,0.69949543,0.36581194,0.1630856,0.8645094,0.42777345,0.79657835,0.74052596,0.35773972,0.7720866,0.6805399,0.3092271,0.8687328,0.49573746,0.3353019,0.6368245,0.7048556,0.79389584,0.25372952,0.5409867,0.21167107,0.7135251,0.44811827,0.48153836,0.6340358,0.44031936,0.6788073,0.74783266,0.35760647,0.66602796,0.4096977,0.70924175,0.27651477,0.54475933,0.5251958,0.32604,0.24762195,0.15012774,0.6126046,0.73797095,0.25613308,0.699316,0.19962466,0.38806325,0.16912775,0.8736754,0.7563422,0.1684632
A2-A0EO,0.1593675,0.5740513,0.85483104,0.17056349,0.46391767,0.3040364,0.6327818,0.2912611,0.33371502,0.6788242,0.7941073,0.5986204,0.70615697,0.8361883,0.5385143,0.73587096,0.77605486,0.6673762,0.5899067,0.42551678,0.8008794,0.5873506,0.711352,0.43736225,0.2273184,0.51082206,0.79079115,0.42306668,0.36613756,0.85565746,0.35681608,0.5310906,0.45787942,0.6154019,0.5707733,0.44422835,0.66611606,0.51627696,0.51242554,0.22459307,0.8242718,0.71343946,0.8250437,0.88722324,0.3435953,0.16565287,0.19273724,0.44844705,0.7345847,0.49541193,0.715799,0.74003243,0.7373369,0.7229357,0.7040315,0.77852845,0.6533613,0.51706743,0.4158675,0.34711382,0.5546824,0.5884061,0.4190616,0.69764906,0.45578545,0.54339254,0.21673726,0.40505502,0.64663863,0.2511745,0.49418116,0.55407524,0.6275822,0.28184018,0.32329762,0.47904995,0.42382598,0.82372826,0.6235289,0.48424116,0.16375124,0.79857206,0.33674157,0.52538747,0.49953023,0.38492694,0.73595995,0.3058465,0.597283,0.4583334,0.4813264,0.35379037,0.52507377,0.28111932,0.3443144,0.24554783,0.47440884,0.50637954,0.66082674,0.47339374
A2-A0ES,0.16163096,0.78602785,0.71459556,0.42702642,0.31796324,0.40897682,0.8368464,0.619037,0.4139838,0.2827173,0.5797124,0.67501104,0.811644,0.92358375,0.71851987,0.60892034,0.49686062,0.44285172,0.6334467,0.26051337,0.769961,0.5994233,0.6467169,0.5396799,0.36515135,0.2801287,0.8705057,0.85690135,0.7226548,0.62367684,0.48886636,0.5437182,0.4046778,0.9097235,0.35639852,0.5496711,0.44746226,0.5758771,0.49001503,0.1301952,0.47679713,0.5050725,0.8232875,0.7239356,0.12369323,0.19406065,0.27887446,0.52323467,0.75204265,0.31831002,0.3376238,0.30098927,0.6729361,0.51683605,0.8059371,0.43679848,0.22765975,0.80267125,0.5358597,0.49405172,0.2938116,0.82840383,0.55206466,0.5889204,0.61774343,0.66060734,0.59012604,0.2810912,0.30493963,0.82815826,0.764992,0.35872048,0.4481935,0.12500654,0.3916688,0.64820284,0.47533694,0.83956397,0.76136297,0.5598901,0.19833101,0.6527536,0.4066177,0.6258088,0.7627173,0.6168947,0.820527,0.69326913,0.36122596,0.20681581,0.6199715,0.20157805,0.5825867,0.4766216,0.25744426,0.42080516,0.17455146,0.39789766,0.46958405,0.70424426
A2-A0EU,0.6888581,0.46456367,0.72219914,0.62744254,0.19484903,0.8524287,0.6010767,0.31838316,0.68972373,0.5480084,0.8911562,0.36083448,0.50432265,0.54637164,0.65130377,0.6746051,0.6407385,0.46424204,0.6139678,0.76175845,0.36281937,0.5134946,0.60997224,0.5976623,0.34877253,0.5374638,0.7297324,0.8653712,0.79317975,0.58007413,0.31002128,0.8727479,0.69178087,0.47502285,0.49484545,0.8960022,0.73965544,0.66173446,0.1348829,0.7687545,0.2212278,0.40849918,0.8991821,0.6200966,0.40610826,0.87747383,0.5779568,0.47462928,0.48684305,0.16915877,0.798481,0.74099714,0.43652987,0.5660223,0.686338,0.6765911,0.23020767,0.77808684,0.53153,0.8326402,0.4495646,0.5866928,0.812428,0.675933,0.29405743,0.21175265,0.88050675,0.66050327,0.6595438,0.67948735,0.4074686,0.6905374,0.23665684,0.40082285,0.37496406,0.24945213,0.1355438,0.59741753,0.7978897,0.45671034,0.44600427,0.26967454,0.39291158,0.52006257,0.34262276,0.32619548,0.30168352,0.31534123,0.68044764,0.5900521,0.69462794,0.42701513,0.67324686,0.72150207,0.358784,0.19510515,0.84890103,0.12742753,0.6417047,0.6189156
